Model,rmse,mae,r2,mape,mean_true,mean_pred,std_true,std_pred,ensemble_weight
GAM,19.15753537252824,15.07456009337478,0.5583424173510335,17.121544665095087,107.75025742108205,103.21288645512455,28.82682360288297,26.851112446182864,0.24381200055159116
FAM,17.17145185968416,12.978643997643621,0.6451699012110368,15.533262104013158,107.75025742108205,102.15912782668131,28.82682360288297,23.95595222100307,0.007498737520719189
GBAM,16.74112705216845,11.40026804690316,0.6627314825425974,13.541955854153201,107.75025742108205,103.62468662323657,28.82682360288297,26.718132403244145,0.5277234744907787
TabNAM,16.89900689629286,11.514106829044321,0.6563401586885088,13.882400389262777,107.75025742108205,103.6152353363643,28.82682360288297,26.382704911292976,0.22096578743691087
ENSEMBLE,16.739918073832317,11.882886310781535,0.6627801931947216,13.894536661776971,107.75025742108205,103.51120654863911,28.82682360288297,26.233214324554247,
UNIFORM_ENSEMBLE,16.81150367371281,12.10337208546811,0.6598898925770071,14.231286326641277,107.75025742108205,103.15298406035168,28.82682360288297,25.539176061173222,
