Model,rmse,mae,r2,mape,mean_true,mean_pred,std_true,std_pred,ensemble_weight
GAM,18.575162068946995,14.527696130659649,0.46787503214979453,16.43844772696209,112.61382054641626,109.56831647937639,25.463951193791303,22.812301516149898,0.3620949235015836
FAM,16.41693882007395,11.19582875185696,0.584345225912674,13.792839864603293,112.61382054641626,109.15110350832549,25.463951193791303,20.378079666238634,0.0
GBAM,15.695224318328858,9.907004539538788,0.6200876009053892,11.88783922728518,112.61382054641626,110.42309129640698,25.463951193791303,22.354548402708428,0.6379050764984164
TabNAM,16.118469289059597,10.341897754693756,0.5993215308899096,12.469553587771063,112.61382054641626,110.2077417981689,25.463951193791303,22.15840781987323,0.0
ENSEMBLE,15.925283579294975,11.104964663027141,0.608868527867928,12.990076222812618,112.61382054641626,110.11358167442322,25.463951193791303,21.884196771121253,
UNIFORM_ENSEMBLE,15.94313079606545,10.923470668940082,0.6079913667595013,13.023733793298295,112.61382054641626,109.83756327056945,25.463951193791303,21.350923471751322,
