model,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_kappa,train_logloss,train_class_0_accuracy,train_class_1_accuracy,train_class_2_accuracy,train_class_3_accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_kappa,test_logloss,test_class_0_accuracy,test_class_1_accuracy,test_class_2_accuracy,test_class_3_accuracy,ensemble_accuracy,ensemble_precision_macro,ensemble_recall_macro,ensemble_f1_macro,ensemble_precision_weighted,ensemble_recall_weighted,ensemble_f1_weighted,ensemble_kappa,ensemble_logloss,ensemble_class_0_accuracy,ensemble_class_1_accuracy,ensemble_class_2_accuracy,ensemble_class_3_accuracy
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1688094039768059,1.0,1.0,1.0,1.0,0.95,0.96875,0.9375,0.9476190476190476,0.95625,0.95,0.9480952380952381,0.9283154121863799,0.17146364956898136,0.75,1.0,1.0,1.0,,,,,,,,,,,,,
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07554149026189352,1.0,1.0,1.0,1.0,0.95,0.96875,0.9375,0.9476190476190476,0.95625,0.95,0.9480952380952381,0.9283154121863799,0.10441635289837026,0.75,1.0,1.0,1.0,,,,,,,,,,,,,
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.035175888291566274,1.0,1.0,1.0,1.0,0.95,0.96875,0.9375,0.9476190476190476,0.95625,0.95,0.9480952380952381,0.9283154121863799,0.06979688569106728,0.75,1.0,1.0,1.0,,,,,,,,,,,,,
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00012123238821951287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00021785911836981115,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0800035886942843,1.0,1.0,1.0,1.0
